trial,label,source_row,stl_file,knn_k,overlap_factor,centreline_samples,line_method,sphere_generation_method,runtime_seconds,branch_count,plane_count,shell_point_count,output_directory,run_parameters_csv,view_y_image,status,message
1,Trial 3,2,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,3,1.0,1000,tree,component_centroid,10.544250999984797,1,1334,278056,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_285ebd25,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_285ebd25\run_parameters_2026-05-15_15-14-46.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_285ebd25\view_y_2026-05-15_15-14-46.png,success,
2,Trial 4,3,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,4,1.0,1000,tree,component_centroid,10.06561780004995,1,1299,270908,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_46f74eac,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_46f74eac\run_parameters_2026-05-15_15-15-04.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_46f74eac\view_y_2026-05-15_15-15-04.png,success,
3,Trial 5,4,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,5,1.0,1000,tree,component_centroid,10.093081400031224,1,1267,263763,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_9c2ff68a,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_9c2ff68a\run_parameters_2026-05-15_15-15-21.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_9c2ff68a\view_y_2026-05-15_15-15-21.png,success,
4,Trial 6,5,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,6,1.0,1000,tree,component_centroid,9.092028699989896,1,1195,252657,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_1a2d2e5e,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_1a2d2e5e\run_parameters_2026-05-15_15-15-38.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s1k_PS0p2_SP0p3_1a2d2e5e\view_y_2026-05-15_15-15-38.png,success,
5,Trial 9,6,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,3,1.0,5000,tree,component_centroid,13.01934880000772,1,1337,278495,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_bbf61045,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_bbf61045\run_parameters_2026-05-15_15-15-54.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_bbf61045\view_y_2026-05-15_15-15-54.png,success,
6,Trial 10,7,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,4,1.0,5000,tree,component_centroid,11.270684900053311,1,1299,270861,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_41ceb3e5,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_41ceb3e5\run_parameters_2026-05-15_15-16-14.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_41ceb3e5\view_y_2026-05-15_15-16-14.png,success,
7,Trial 11,8,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,5,1.0,5000,tree,component_centroid,11.524075099965557,1,1267,263936,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_c7ce6671,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_c7ce6671\run_parameters_2026-05-15_15-16-33.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_c7ce6671\view_y_2026-05-15_15-16-33.png,success,
8,Trial 12,9,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,6,1.0,5000,tree,component_centroid,11.421995100041386,1,1195,252756,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_306a15d3,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_306a15d3\run_parameters_2026-05-15_15-16-52.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s5k_PS0p2_SP0p3_306a15d3\view_y_2026-05-15_15-16-52.png,success,
9,Trial 15,10,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,3,0.5,10000,tree,component_centroid,13.157308500027284,1,1306,274184,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_622f4dcd,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_622f4dcd\run_parameters_2026-05-15_15-17-11.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_622f4dcd\view_y_2026-05-15_15-17-11.png,success,
10,Trial 16,11,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,4,0.5,10000,tree,component_centroid,11.34446829999797,1,1303,273580,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_4e3bc919,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_4e3bc919\run_parameters_2026-05-15_15-17-32.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_4e3bc919\view_y_2026-05-15_15-17-32.png,success,
11,Trial 17,12,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,5,0.5,10000,tree,component_centroid,10.967742000008002,1,1273,267485,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_143ee1ec,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_143ee1ec\run_parameters_2026-05-15_15-17-51.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_143ee1ec\view_y_2026-05-15_15-17-51.png,success,
12,Trial 18,13,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,6,0.5,10000,tree,component_centroid,10.597233799984679,1,1240,260656,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_9e5d38f5,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_9e5d38f5\run_parameters_2026-05-15_15-18-09.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF0p5_s10k_PS0p2_SP0p3_9e5d38f5\view_y_2026-05-15_15-18-09.png,success,
13,Trial 21,14,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,3,1.0,10000,tree,component_centroid,11.806794899981469,1,1337,278497,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_889576b4,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_889576b4\run_parameters_2026-05-15_15-18-26.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_889576b4\view_y_2026-05-15_15-18-26.png,success,
14,Trial 22,15,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,4,1.0,10000,tree,component_centroid,11.085381699958816,1,1299,270857,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_f18499b5,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_f18499b5\run_parameters_2026-05-15_15-18-45.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_f18499b5\view_y_2026-05-15_15-18-45.png,success,
15,Trial 23,16,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,5,1.0,10000,tree,component_centroid,10.905839600018226,1,1264,263919,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_29af4827,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_29af4827\run_parameters_2026-05-15_15-19-03.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_29af4827\view_y_2026-05-15_15-19-03.png,success,
16,Trial 24,17,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,6,1.0,10000,tree,component_centroid,10.000333499978296,1,1195,252749,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_1a3a210a,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_1a3a210a\run_parameters_2026-05-15_15-19-21.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1_s10k_PS0p2_SP0p3_1a3a210a\view_y_2026-05-15_15-19-21.png,success,
17,Trial 27,18,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,3,1.5,10000,tree,component_centroid,11.50776120001683,1,1320,275746,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_493c0077,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_493c0077\run_parameters_2026-05-15_15-19-37.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K3_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_493c0077\view_y_2026-05-15_15-19-37.png,success,
18,Trial 28,19,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,4,1.5,10000,tree,component_centroid,11.705704500025604,1,1317,279750,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_35c08d07,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_35c08d07\run_parameters_2026-05-15_15-19-56.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K4_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_35c08d07\view_y_2026-05-15_15-19-56.png,success,
19,Trial 29,20,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,5,1.5,10000,tree,component_centroid,11.387183099985123,1,1308,273411,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_c51a5ee6,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_c51a5ee6\run_parameters_2026-05-15_15-20-14.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K5_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_c51a5ee6\view_y_2026-05-15_15-20-14.png,success,
20,Trial 30,21,C:/Users/sigur/OneDrive - OsloMet/MasterRC/VS_code/MasterThesis/SlicerProgram/mesh/CustomEdgecaseThesis.stl,6,1.5,10000,tree,component_centroid,7.625780600006692,1,1079,246088,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_93a64f08,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_93a64f08\run_parameters_2026-05-15_15-20-33.csv,C:\Users\sigur\OneDrive - OsloMet\MasterRC\VS_code\MasterThesis\SlicerProgram\outputs\planned_batches\edgecase1_trials_2026-05-15_15-14-46\tree\component_centroid\CustomEdgecaseThesis_K6_Dmin7_Dmax25_OF1p5_s10k_PS0p2_SP0p3_93a64f08\view_y_2026-05-15_15-20-33.png,success,
